#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
   -2.317     0.067   -10.634     0.072   -2.2565    0.0448   -10.072    0.0508
    4.244     0.032     1.036     0.047    4.6199    0.1374    0.2004    0.1576
    2.032     0.022    -0.735      0.03    1.9936     0.087   -0.5305    0.1092
    0.746     0.047     2.897     0.049    0.5939    0.0417    2.9472    0.0486
    0.747     0.052    -0.744     0.054     0.708    0.0481   -0.6545    0.0548
    0.722     0.065    -2.197     0.084    0.6185    0.0454   -1.8459    0.0484
    -0.09     0.031    -2.375     0.038   -0.1804      0.07   -2.2059    0.0768
    3.569     0.041     0.123     0.043    3.6014    0.0655    0.2162    0.0746
   -6.373     0.027      17.8      0.03   -6.6129    0.0514    17.932    0.0479
   17.597     0.025    32.324     0.042    17.628    0.0612    32.571    0.0653
    3.289     0.018     4.336     0.023    3.3137    0.0716    4.6288    0.0806
   10.008     0.023    -1.627     0.028    9.8805    0.0671   -1.2922     0.076
   -2.315     0.045     0.799     0.059   -2.3424    0.0417    1.0332    0.0448
   -3.302     0.044    -9.133     0.048   -3.1852    0.0724   -9.1243    0.0703
   35.614     0.063     8.051      0.07    35.734    0.0438    7.9425    0.0497
   23.409     0.059    -8.509     0.091    23.313    0.0504   -8.3925    0.0562
    0.614     0.045    -0.465     0.048    0.5537    0.0599   -0.3011    0.0613
    0.058     0.039    -3.015     0.055   -1.8532    0.0916   -3.1552    0.0758
    9.171     0.059     7.477     0.074    9.1935    0.0801    7.6815    0.0805
    0.079     0.058    11.793     0.066   -0.3316    0.1014    11.122      0.11
  -70.231      0.06   -100.96     0.081   -70.209    0.0582   -100.95    0.0605
      -34     0.052   -52.256     0.072   -34.086    0.0486   -52.132    0.0883
   26.186     0.048    -3.605     0.054    26.039    0.0616   -3.2773    0.0711
    4.128     0.047     -2.87     0.052    4.0438    0.0561   -2.5807    0.0599
    11.37     0.017    -6.221     0.024    11.167    0.0725   -6.1483    0.0714
    3.841     0.045    -4.214     0.063    3.6313    0.0465   -4.1484    0.0595
    -0.77     0.051     7.237     0.053   -0.8768     0.048    7.3819    0.0753
   -3.827     0.025    -7.733     0.033   -3.8164    0.0669    -7.386    0.0769
   -3.409     0.137    -5.831     0.184   -3.2479     0.037   -5.7025    0.0488
    2.309     0.032    -9.941     0.034    3.4922    0.0665   -9.1482    0.0815
   -6.279     0.048    -9.786      0.08   -6.2394    0.0481   -9.5506    0.0604
  -20.083     0.078   -11.613     0.097    -20.13    0.0454   -11.696    0.0532
     0.01     0.035    -2.698     0.045    1.4394    0.0609   -2.7798    0.0705
   22.114     0.046    19.786     0.052    23.441    0.2203    18.859    0.2198
   -7.836     0.039   -23.516      0.05   -7.9149    0.0497   -23.308    0.0515
   -0.498     0.039    -5.162     0.059   -0.4337    0.0643   -5.0644     0.068
